Time,IR_brachial,IR_ankle
7014,108839,104230
7019,108823,104230
7024,108848,104257
7028,108858,104239
7033,108850,104262
7038,108853,104249
7044,108897,104258
7049,108906,104251
7054,108890,104229
7059,108877,104247
7064,108854,104240
7069,108851,104223
7074,108855,104237
7077,108895,104236
7084,108887,104247
7088,108905,104257
7093,108927,104246
7098,108919,104265
7103,108907,104259
7108,108883,104272
7113,108866,104278
7118,108883,104282
7122,108889,104282
7128,108937,104269
7133,108944,104274
7138,108944,104269
7143,108913,104271
7148,108915,104280
7153,108918,104282
7158,108915,104285
7162,108953,104288
7169,108980,104304
7173,108969,104298
7178,108950,104289
7183,108905,104285
7188,108896,104306
7192,108934,104275
7198,108964,104301
7203,108918,104310
7208,108902,104310
7214,108893,104304
7217,108897,104320
7223,108880,104311
7228,108884,104311
7233,108850,104331
7238,108859,104322
7242,108874,104330
7248,108840,104342
7254,108810,104325
7259,108833,104326
7262,108820,104345
7268,108799,104323
7273,108797,104350
7277,108812,104316
7283,108770,104316
7288,108795,104325
7291,108799,104328
7298,108785,104293
7302,108814,104270
7308,108778,104283
7312,108795,104265
7318,108782,104230
7322,108804,104229
7328,108798,104214
7331,108811,104159
7336,108808,104164
7342,108821,104133
7347,108816,104129
7352,108816,104111
7357,108816,104111
7362,108812,104089
7367,108818,104101
7371,108833,104080
7376,108815,104067
7382,108824,104073
7387,108829,104045
7392,108846,104048
7397,108836,104046
7402,108845,104050
7407,108856,104029
7411,108845,104074
7416,108854,104060
7421,108855,104050
7427,108850,104048
7432,108877,104046
7437,108865,104051
7442,108875,104039
7447,108873,104044
7452,108864,104046
7456,108868,104049
7461,108881,104061
7467,108868,104056
7472,108878,104092
7477,108882,104081
7482,108889,104070
7487,108912,104092
7492,108905,104091
7496,108891,104084
7501,108913,104103
7506,108908,104087
7512,108905,104124
7517,108931,104135
7522,108914,104136
7527,108917,104152
7532,108922,104151
7537,108940,104161
7541,108934,104153
7546,108920,104178
7552,108937,104217
7557,108908,104160
7562,108931,104210
7567,108942,104207
7572,108929,104222
7577,108914,104197
7581,108930,104195
7586,108934,104207
7591,108914,104232
7597,108916,104245
7602,108904,104250
7607,108907,104250
7612,108891,104242
7617,108903,104272
7622,108893,104252
7626,108914,104265
7631,108907,104254
7636,108919,104255
7642,108922,104234
7647,108927,104284
7652,108920,104279
7657,108946,104260
7662,108898,104244
7666,108915,104257
7671,108921,104284
7676,108936,104274
7682,108930,104262
7687,108953,104253
7692,108969,104270
7697,108967,104265
7702,108960,104267
7707,108978,104280
7711,108987,104273
7716,108996,104299
7720,109009,104252
7726,108994,104268
7731,109009,104266
7736,109035,104295
7740,109037,104250
7745,109030,104265
7750,109033,104271
7755,109025,104294
7760,109031,104248
7766,109052,104274
7771,109047,104269
7776,109058,104280
7780,109055,104265
7785,109073,104267
7790,109076,104270
7795,109071,104269
7800,109057,104277
7805,109068,104255
7811,109062,104283
7816,109057,104283
7821,109070,104276
7825,109054,104279
